hID,impressions,posts impressions,video views,views,clicks,impressions to posts impressions,impressions to video views,impressions to views,impressions to clicks
-4.30092E+18,18,5,3,12,0,27.78,16.67,66.67,0
-4.26479E+18,76573525,75054262,15817553,46530,0,98.02,20.66,0.06,0
-4.26391E+18,2821,2031,199,1279,0,72,7.05,45.34,0
-4.2417E+18,14547113,14543753,5829196,20573,0,99.98,40.07,0.14,0
-4.22627E+18,608,262,284,259,0,43.09,46.71,42.6,0
-4.20914E+18,19536683,19433286,2213539,99584,0,99.47,11.33,0.51,0
-4.18201E+18,149797532,116934345,48853213,235078,0,78.06,32.61,0.16,0
-4.17364E+18,1390922176,1388124663,91532652,925642,0,99.8,6.58,0.07,0
-4.14765E+18,1213,1157,242,47,0,95.38,19.95,3.87,0
-4.13925E+18,1116,788,0,59,0,70.61,0,5.29,0
-4.11551E+18,4,0,0,4,0,0,0,100,0
-4.0472E+18,148697892,148545345,47363891,241248,581,99.9,31.85,0.16,0
-3.98184E+18,7120,6007,0,1660,6,84.37,0,23.31,0.08
-3.95749E+18,3616458,3528863,2343660,12310,0,97.58,64.81,0.34,0
-3.94151E+18,545433,517476,87170,21986,225,94.87,15.98,4.03,0.04
-3.86614E+18,801,606,0,227,2,75.66,0,28.34,0.25
-3.80136E+18,38359,33341,8645,3440,29,86.92,22.54,8.97,0.08
-3.7302E+18,1279896,1278149,2221,2596,0,99.86,0.17,0.2,0
-3.69403E+18,118043,106603,1900,11815,0,90.31,1.61,10.01,0
-3.58996E+18,4,0,0,4,0,0,0,100,0
-3.58791E+18,6,0,0,6,0,0,0,100,0
-3.57793E+18,28903864,27314293,3351681,640907,0,94.5,11.6,2.22,0
-3.56596E+18,3816,1542,337,3007,5,40.41,8.83,78.8,0.13
-3.47665E+18,15,4,5,11,0,26.67,33.33,73.33,0
-3.42341E+18,28909773,28835529,5789998,32624,371,99.74,20.03,0.11,0
-3.41402E+18,3,0,0,3,0,0,0,100,0
-3.40594E+18,5582035,5493877,1689378,48774,0,98.42,30.26,0.87,0
-3.40402E+18,23081661,20897468,7770006,33327,0,90.54,33.66,0.14,0
-3.38883E+18,939321,916063,164897,26672,375,97.52,17.55,2.84,0.04
-3.30401E+18,57144,40371,412,10456,0,70.65,0.72,18.3,0
-3.27216E+18,4,0,0,4,0,0,0,100,0
-3.22223E+18,3209,2887,224,424,0,89.97,6.98,13.21,0
-3.21142E+18,46309553,45963492,6272918,35568,587,99.25,13.55,0.08,0
-3.1351E+18,511909,474891,16032,24959,315,92.77,3.13,4.88,0.06
-3.05137E+18,19201377,19180192,6337957,60748,211,99.89,33.01,0.32,0
-3.04951E+18,69646152,69353073,7423850,59173,786,99.58,10.66,0.08,0
-3.03757E+18,12728372,12295660,1810400,8827,0,96.6,14.22,0.07,0
-3.01785E+18,8118,7203,369,1436,3,88.73,4.55,17.69,0.04
-3.01686E+18,48930373,48453593,18448549,544221,4698,99.03,37.7,1.11,0.01
-3.01377E+18,101013,100749,146,263,0,99.74,0.14,0.26,0
-2.98799E+18,711171299,710817381,244148569,871903,840,99.95,34.33,0.12,0
-2.98751E+18,103426793,94713231,8879281,863375,4135,91.58,8.59,0.83,0
-2.97654E+18,75439666,75003658,20055291,131729,397,99.42,26.58,0.17,0
-2.97064E+18,1378957,1334808,319014,55477,988,96.8,23.13,4.02,0.07
-2.90921E+18,21481347,21387511,3512415,65630,2712,99.56,16.35,0.31,0.01
-2.88223E+18,4139388,4106827,1215786,33498,0,99.21,29.37,0.81,0
-2.8562E+18,5491,5242,1810,428,2,95.47,32.96,7.79,0.04
-2.85605E+18,10150,7948,1355,2552,0,78.31,13.35,25.14,0
-2.85067E+18,8032,5598,1048,2268,0,69.7,13.05,28.24,0
-2.83671E+18,70059861,69625386,16716807,110387,0,99.38,23.86,0.16,0
-2.67941E+18,445011,434334,83366,14168,0,97.6,18.73,3.18,0
-2.6392E+18,8369035,8313629,2213685,40805,290,99.34,26.45,0.49,0
-2.63788E+18,1786715,1775813,541116,15752,62,99.39,30.29,0.88,0
-2.62282E+18,30508055,30487645,51665,17613,0,99.93,0.17,0.06,0
-2.58709E+18,11,2,2,6,0,18.18,18.18,54.55,0
-2.4648E+18,16,8,6,8,0,50,37.5,50,0
-2.42038E+18,182241191,181412023,25133231,154407,1219,99.55,13.79,0.08,0
-2.39452E+18,4850,4022,0,1037,0,82.93,0,21.38,0
-2.38447E+18,63626,52354,12665,11339,0,82.28,19.91,17.82,0
-2.33638E+18,174194950,174006895,44310668,86505,3162,99.89,25.44,0.05,0
-2.1767E+18,7732498,6973067,1176521,87692,0,90.18,15.22,1.13,0
-2.14738E+18,1225,1016,0,330,0,82.94,0,26.94,0
-2.10206E+18,6525,4916,0,1921,0,75.34,0,29.44,0
-2.04072E+18,38,28,8,40,0,73.68,21.05,105.26,0
-1.99173E+18,54,35,5,31,0,64.81,9.26,57.41,0
-1.98202E+18,62373934,62069150,12477003,111079,0,99.51,20,0.18,0
-1.90809E+18,264528,103147,0,38899,0,38.99,0,14.71,0
-1.89183E+18,2103,1451,125,836,0,69,5.94,39.75,0
-1.88831E+18,794,622,0,478,0,78.34,0,60.2,0
-1.88045E+18,157,83,9,73,0,52.87,5.73,46.5,0
-1.86968E+18,77311,59084,10946,12218,71,76.42,14.16,15.8,0.09
-1.85542E+18,2169095,2124229,615984,58109,1525,97.93,28.4,2.68,0.07
-1.84584E+18,21280540,21215219,4334570,33943,712,99.69,20.37,0.16,0
-1.75417E+18,5551114,5469460,844299,18378,0,98.53,15.21,0.33,0
-1.72729E+18,148570,140026,25354,8204,0,94.25,17.07,5.52,0
-1.71925E+18,4470761,4339270,201995,55802,1335,97.06,4.52,1.25,0.03
-1.71105E+18,143243727,140702424,28641878,59340,0,98.23,20,0.04,0
-1.69549E+18,1933731,1929394,444845,4972,0,99.78,23,0.26,0
-1.61442E+18,1387583858,1380684932,297479516,2566616,47308,99.5,21.44,0.18,0
-1.60551E+18,1085,729,0,415,0,67.19,0,38.25,0
